CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
Palmerton,Pennsylvania,18071,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Covington,Louisiana,70433-6256,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atlanta,Georgia,30318,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Greenville,South Carolina,29615,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Blue Springs,Missouri,64014,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Iowa City,Iowa,52246,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Guilford,Connecticut,06437,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gainesville,Florida,32603,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Coral Gables,Florida,33134,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Simpsonville,South Carolina,29681,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Maurice,Louisiana,70555,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Boston,Massachusetts,02128-2125,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Nanuet,New York,10954,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Denver,Colorado,80247-1109,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Edgerton,Wisconsin,53534,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Columbus,Ohio,43202-2062,GRE/PhD,Grad Application,RUC Grad Program List,Letter
